error
30.7875
28.0
28.24375
29.6
27.13125
28.0375
27.83125
27.825
30.075
27.80625
28.7625
26.05625
28.425
26.825
25.93125
25.68125
26.125
24.85625
24.4875
24.51875
24.5
23.78125
23.23125
23.89375
22.08125
22.625
21.975
22.06875
21.06875
21.09375
21.0125
21.96875
20.625
19.80625
20.71875
18.18125
18.6125
17.7375
18.4
18.725
18.8
17.90625
17.8125
18.10625
18.425
17.46875
16.75
17.39375
16.175
16.525
16.0
14.2875
15.90625
15.85625
15.325
15.025
15.7875
14.19375
13.00625
12.93125
11.2
10.125
8.6375
6.55625
6.925
6.65
4.21875
3.58125
3.20625
1.9125
2.68125
0.7875
1.66875
0.4125
0.7
0.23125
0.60625
0.8375
0.15625
0.15625
0.46875
0.0625
0.3
0.0625
0.09375
0.21875
0.225
0.09375
0.33125
0.04375
0.08125
0.28125
0.0625
0.03125
0.0875
0.3375
0.05
0.03125
0.18125
0.10625
