error
36.04375
32.1375
31.875
31.7
30.9
32.0125
31.38125
31.66875
32.0875
31.76875
31.1125
31.7
31.95
31.50625
31.91875
32.01875
32.23125
32.225
31.6625
31.725
31.69375
31.3
31.06875
32.03125
31.85625
31.425
30.83125
30.45
30.15625
30.41875
30.3125
29.6
28.7125
29.4
28.825
28.01875
26.89375
26.8375
26.9625
26.6875
25.9875
25.70625
26.2125
25.05625
24.29375
25.55
23.91875
24.05625
23.13125
23.04375
22.6625
23.075
22.675
22.175
22.15625
22.7375
21.00625
21.75625
20.83125
21.09375
20.53125
20.51875
20.64375
19.65625
20.60625
20.19375
19.74375
19.78125
19.15
19.0875
19.2
19.225
18.88125
18.9375
18.46875
18.81875
18.2125
18.1
18.4375
18.125
17.5375
17.68125
17.95
17.1875
17.66875
17.50625
17.7375
16.775
17.0875
16.475
17.4375
16.49375
16.25625
16.49375
16.0875
15.55625
16.1375
15.7125
15.975
15.1
15.09375
16.18125
14.33125
14.80625
14.74375
14.44375
15.0875
14.3375
14.10625
15.1
13.63125
14.18125
14.59375
14.01875
14.26875
13.50625
13.36875
13.78125
13.30625
13.35
13.5125
13.39375
12.825
12.9625
12.175
12.5625
12.35
11.95
12.98125
11.4125
11.625
11.4375
11.61875
11.225
10.90625
11.60625
11.25
10.5875
10.8375
10.36875
10.46875
9.98125
10.425
10.03125
10.2125
9.6375
9.9625
10.19375
9.66875
9.38125
9.225
9.31875
9.6375
9.3
9.09375
9.0125
9.025
8.58125
8.8
9.13125
8.90625
9.0625
8.2875
8.525
8.4875
8.6
8.93125
8.94375
8.16875
8.8
8.86875
8.0125
8.0875
8.375
8.13125
8.175
8.23125
8.19375
8.31875
7.9
8.275
7.85
7.64375
7.56875
7.6125
7.8125
7.9875
7.39375
7.71875
7.53125
7.75
7.36875
7.3625
7.0125
7.51875
7.26875
7.50625
7.2375
6.8875
7.2375
